,技术(S),作用(A),功效(O)
0,光学投影显微镜, 检测, 山羊绒
1,光学显微镜, 鉴别, 山羊绒纤维
2,光栅电子显微镜, 研究, 刀片
3,全息电子显微镜, 观测, 磁通量
4,冷冻电镜, 观察, 大鼠胰岛素瘤细胞
5,冷冻电镜, 重构, 埃瓦尔德球效应
6,冷冻电镜, 重构, 生物大分子
7,冷冻电镜成像技术, 运用于, 解析30nm染色质纤维高分辨率结构
8,分散X射线显微分析法, 研究, 新耐热细菌对黄铜矿生物浸出过程
9,台式扫描电子显微镜, 测定, 卷烟纸中特殊纤维
10,应用扫描电镜, 检测, 血栓
11,应用扫描电镜技术, 预测, 良性与侵蚀性葡萄胎
12,应用环境扫描电镜, 研究, 储集层砂岩样品润湿性变化特征
13,应用电子显微镜X射线显微分析法, 研究, 缺血骨骼肌细胞内钙
14,应用电子显微镜负染色技术, 检测, 樱桃树叶病毒
15,彩色荧光电子显微镜, 鉴别, 钻石瑕疵
16,扫描电子显微镜, 检测, 动物毛
17,扫描电子显微镜, 检验, 水中尸体
18,扫描电子显微镜, 测定, 中药制剂中含砷成分
19,扫描电子显微镜, 测定, 单微粒中铀同位素比值
20,扫描电子显微镜, 研究, 中国黄土微结构 
21,扫描电子显微镜, 研究, 砂岩储层
22,扫描电子显微镜, 研究, 高Tc超导薄膜
23,扫描电子显微镜, 观察, 不同含氟浓度酸蚀液
24,扫描电子显微镜, 观察, 叶尖生态形态变化
25,扫描电子显微镜, 观察, 安徽霍山产三种石斛花粉粒
26,扫描电子显微镜, 观察, 小鼠类巨噬细胞
27,扫描电子显微镜, 观察, 蕨类植物孢子
28,扫描电子显微镜-能谱仪, 分析, 胶料喷霜
29,扫描电子显微镜-能谱仪, 分析, 钢帘线与橡胶之间黏合机理
30,扫描电子显微镜-能谱仪, 检验, 微量附着物
31,扫描电镜, 分析, 各类微体化石样品最佳镀膜
32,扫描电镜, 分析, 大鼠股骨头
33,扫描电镜, 分析, 新疆部分野生哺乳动物
34,扫描电镜, 实现, STEM模式
35,扫描电镜, 应用于, 中药鉴定研究
36,扫描电镜, 应用于, 植物类中药鉴定研究
37,扫描电镜, 揭示, 果蔬保鲜机理
38,扫描电镜, 检测, 硅化镀膜
39,扫描电镜, 研究, 四川九老洞组页岩微观孔隙特征
40,扫描电镜, 研究, 大气环境下LY12铝表面上液膜
41,扫描电镜, 研究, 有机孔三维结构
42,扫描电镜, 研究, 稻谷霉变
43,扫描电镜, 研究, 膝骨关节炎
44,扫描电镜, 研究, 花粉
45,扫描电镜, 观察, 不同紫花苜蓿品种花粉形态
46,扫描电镜, 观察, 地方性砷中毒人群头发砷值
47,扫描电镜, 观察, 天然药物五倍子化学成分
48,扫描电镜, 观察, 富血小板血浆处理降解膜
49,扫描电镜, 观察, 成年斑马鱼牙齿
50,扫描电镜, 观察, 月胎儿胆囊微血管
51,扫描电镜, 观察, 果皮微形态特征
52,扫描电镜, 观察, 灰鼠内毛细胞
53,扫描电镜, 观察, 烟粉虱形态学
54,扫描电镜, 观察, 猪蛔虫感觉器官
55,扫描电镜, 观察, 白僵菌
56,扫描电镜, 观察, 碱蒿营养器官
57,扫描电镜, 观察, 磨损表面形貌演变方法
58,扫描电镜, 观察, 红细胞
59,扫描电镜, 观察, 美洲大蠊触角
60,扫描电镜, 观察, 足跟部皮肤
61,扫描电镜, 观察, 金边土鳖消化道
62,扫描电镜, 观察, 陶瓷材料显微结构
63,扫描电镜, 观察, 食管癌
64,扫描电镜, 观察, 麦麸水溶性膳食纤维
65,扫描电镜, 观测, 聚乙烯基纳米电介质微结构
66,扫描电镜, 观测, 陶瓷坯体连接环境
67,扫描电镜, 鉴别, 植物花粉形态
68,扫描电镜,观察, 家兔晶状体纤维超微结构
69,扫描电镜能谱, 研究, 破壁松花粉
70,扫描透射电子显微镜, 探测, 单原子催化中的活性中心
71,数码电子显微镜, 鉴别, 手印
72,电子显微镜, 分散, X射线
73,电子显微镜, 分析, H-800
74,电子显微镜, 分析, LaNbO_4-NiO-Y_2O_3稳定的ZrO_2复合材料中的相界
75,电子显微镜, 分析, 不良导体
76,电子显微镜, 分析, 人工冰核粒子
77,电子显微镜, 分析, 光栅沟漕形状方法
78,电子显微镜, 分析, 北京雨雪中不可溶成分
79,电子显微镜, 分析, 含焰剂人工冰核粒子
80,电子显微镜, 分析, 回火态物组成关系
81,电子显微镜, 分析, 固体催化剂
82,电子显微镜, 分析, 彩色显象管内薄膜
83,电子显微镜, 分析, 彩色显象管内薄膜污染
84,电子显微镜, 分析, 水泥砂浆中单一组相力学性能
85,电子显微镜, 分析, 液压系统堵塞原因
86,电子显微镜, 分析, 混合纤维含量
87,电子显微镜, 分析, 研究方面应用
88,电子显微镜, 分析, 精细陶瓷粉体
89,电子显微镜, 分析, 聚硅酸金属盐复合絮凝剂形貌
90,电子显微镜, 分析, 膨润土微观形貌及结构模式
91,电子显微镜, 分离, 小鼠染色体
92,电子显微镜, 分辨, 低氟溶胶
93,电子显微镜, 分辨, 聚芳醚酮球晶形态 
94,电子显微镜, 加速, 高压稳定度测量
95,电子显微镜, 发现, 类B型病毒颗粒
96,电子显微镜, 变换, 红外光谱
97,电子显微镜, 吸收, 电子象
98,电子显微镜, 应用于, 白血病诊断
99,电子显微镜, 应用于, 瓦斯研究
100,电子显微镜, 影响, 阴极电子束流
