id,title,abstract
1,普通扫描电子显微镜、环境扫描电子显微镜和激光共聚焦扫描电子显微镜在组织工程学中的应用。,"在组织工程学领域,显微镜是最常使用的研究工具。本文分别概述了普通扫描电子显微镜、环境扫描电子显微镜和激光共聚焦扫描电子显微镜的原理和在组织工程学中的应用,分别展示了一些重要应用。以此为前提,对普通扫描电子显微镜,环境扫描电子显微镜和激光共聚焦扫描电子显微镜的优缺点进行了对比,借此为广大致力于此领域的研究人员提供些许建议。"
2,扫描电子显微镜在生药学研究中的应用——单子叶植物中的针晶在扫描电子显微镜下的精细结构。,"使用扫描电子显微镜观察植物细胞中的结晶体和淀粉粒的一个简单显微观察方法已经建立。应用这个技术能够清晰地观察到单子叶植物中的晶体形态。在观察大多数单子叶植物中的晶体时发现,长而多的针晶束先端部分的显微特征是不同的,这对原植物的鉴定和生药的研究是有用的。单子叶植物中的针晶多以束状与粘液共存于特殊的细胞组织中,每细胞中1束或2至多束,少数单个或2～3个大型针晶存在于植物细胞中。结晶形态随植物不同而不同,但在同一植物的不同部位,其所含针晶形态几乎是相同的,这在中药鉴定及原植物科属的分类等方面有着广泛的应用。单子叶植物中的针晶在扫描电子显微镜下观察有3种类型。1针晶两端相同,该型又分4种:①针"
3,先进的电子断层扫描技术在材料科学中的发展——基于透射电子显微镜和扫描透射电子显微镜(英文)。,"介绍了基于透射电子显微镜和扫描透射电子显微镜的电子断层扫描技术在材料科学领域的最新进展。详细地描述各种电子断层扫描的类型:基于透射电子显微镜的断层扫描技术包括明场断层扫描、暗场断层扫描、弱束暗场断层扫描、环形暗场断层扫描和能量过滤断层扫描;基于扫描透射电子显微镜的断层扫描技术包括高角环形暗场断层扫描、环形暗场断层扫描,非共格明场断层扫描、电子能量损失谱断层扫描和X射线能谱断层扫描。报道了优化的倾转系列,比如双轴倾转、同轴倾转、锥形倾转以及等斜率倾转等。总结了先进的重构算法包括离散迭代重构技术、压缩传感算法以及等斜率算法。最后,提出了电子断层扫描技术在材料科学中的发展趋势。"
4,“中国电子显微镜学会青年优秀论文奖”奖励条例(一九八六年8月3日中国电子显微镜学会第二届理事会第二次会上通过)。,"第一条为奖励我国青年电子显微学工作者的学术成就,加速电子显微学的发展,促进社会主义现代化建设,中国电子显微镜学会决定于一九八七年至一九九○年每年集资一千元,建立“中国电子显微镜学会青年优秀论文奖”,授予在《电子显微学报》上已公开发表的优秀电子显微学研究成就(以近期为主,但不受时间限制)的作者个人或集体。"
5,透射电子显微镜与扫描电子显微镜一些故障分析及处理。,"透射电镜是以波长极短的电子束作照明源,用电磁透镜聚焦放大成像的一种具有高分辨率、高放大倍数的电子光学仪器。随着科学技术和生产实践的发展,十年来商品电镜型号繁多、高性能多用途透射电镜不断出现。从1977年以来我国从荷兰飞利浦公司引进了 EM 系列电镜,SEM 扫描电镜六十来"
6,钛合金中相变的电子显微镜研究(Ⅰ)——钛及其合金的电子显微镜薄膜样品的制备。,"由于钛及其合金具有强度高和良好的耐腐蚀性能,它们作为一和结构材料已日益广泛地用于人们的日常生活及航空、航海、化工的各个方面。近年来,钛及其合金的理论"
7,管氏肿腿蜂产卵器感器的扫描电子显微镜观察。,"管氏肿腿蜂在天牛类害虫的生物防治和维持生态平衡上起着重要的作用。为明确管氏肿腿蜂产卵器和其上感器结构,利用扫描电子显微镜技术,对其产卵器结构和感器类型分布进行了详细研究。结果表明:管氏肿腿蜂的产卵器为一般产卵器,由第1产卵瓣、第2产卵瓣以及第3产卵瓣构成。管氏肿腿蜂产卵器上共具5种感器类型,为末梢锥状感器、锥形感器、刺形感器、毛形感器和凹窝感器。第1、第2产卵瓣上皆未观察到感器分布,第3产卵瓣端部密布感器,侧边具十几个凹窝感器。根据感器形态结构和以往研究对各类型感器在管氏肿腿蜂产卵中发挥的作用,进行了合理推测。初步探讨了该昆虫天敌的产卵感受机制,对掌握其产卵选择机制具有重大意义,也为进一步的电生理、电化学实验提供了一定的理论基础。"
8,扫描电子显微镜下观察磨损颗粒刺激小鼠气囊植骨模型诱导骨溶解的超微病理改变。,"目的观察小鼠气囊植骨模型中颅骨组织的超微病理改变。方法将30只BALB/c小鼠随机分为对照组、钛颗粒刺激组和颅骨骨片供体组,每组各10只。采用Ran等人的方法建立小鼠气囊植骨模型,建模完成后取出植入颅骨组织,通过扫描电子显微镜观察骨溶解的超微病理改变。结果与对照组相比,钛颗粒刺激组的颅骨组织表面骨吸收面积明显增加(P<0.05),破骨细胞数目明显增加(P<0.05)。结论应用扫描电子显微镜观察小鼠气囊植骨模型的超微病理改变,可为研究人工关节置换术后假体周围骨溶解提供相关的实验依据。"
9,计量型扫描电子显微镜测控系统研究。,"为了解决扫描电子显微镜(SEM)在100 nm以下的微纳几何结构尺寸精确测量方面的不足,实现SEM测量值的量值传递与溯源,研制了一套计量型SEM测控系统。该系统主要由位移台运动控制模块、激光干涉位移测量模块和图像采集与处理模块组成,基于LabVIEW图形编程语言开发了测控系统上位机软件。对1μm×1μm二维栅格样品进行尺寸测量实验,结果表明,该计量型SEM测控系统运行稳定可靠,且在10μm测量范围内的测量值示值误差优于10 nm。"
10,沈阳理工大学扫描电子显微镜运行管理与改进。,"沈阳理工大学扫描电子显微镜实验室成立12年以来,承担本科实验教学657小时、毕设检测5981小时,服务本科教学合计9200人次。为学校各学院提供5668小时检测服务,为社会提供4188小时检测服务。通过总结多年来的运行管理数据,分析讨论了设备运行管理中的问题,提出设备运行管理改进建议。"
