,  技术(S),作用(A),功效(O)
0,电子显微镜, 分析, 液压系统堵塞原因
1,电子显微镜, 观察, 石墨烯液体池中水
2,光学投影显微镜, 检测, 山羊绒
3,电子显微镜法, 测定, 金属衬底上石墨烯薄膜
4,扫描电子显微镜-能谱仪, 分析, 胶料喷霜
5,扫描电子显微镜-能谱仪, 分析, 钢帘线与橡胶之间黏合机理
6,电子显微镜, 研究, 羊毛织物
7,扫描透射电子显微镜, 探测, 单原子催化中的活性中心
8,台式扫描电子显微镜法, 测定, 卷烟纸中特殊纤维
9,电子显微镜, 分析, LaNbO_4-NiO-Y_2O_3稳定的ZrO_2复合材料中的相界
10,扫描电子显微镜, 测定, 单微粒中铀同位素比值
11,扫描电子显微镜, 检测, 动物毛
12,电子显微镜方法, 确定, 外延生长纳米线生长方向
13,电子显微镜, 检测, 数控车床导轨精度
14,电子显微镜, 观察, 高聚物断面样品
15,电子显微镜, 研究, 聚丙烯腈基碳纤维形态结构
16,电子显微镜, 分析, 水泥砂浆中单一组相力学性能
17,电子显微镜, 观察, 显微结构
18,电子显微镜, 观察, 抗菌肽抗菌机理
19,电子显微镜, 观察, B超
20,扫描电子显微镜, 观察, 不同含氟浓度酸蚀液
21,扫描电子显微镜-能谱仪, 检验, 微量附着物
22,电子显微镜, 辨认, 3C-SiC中硅
23,电子显微镜, 分辨, 低氟溶胶
24,电子显微镜, 观察, 核心复合体结构
25,电子显微镜样品, 处理, 镀膜技术
26,电子显微镜, 变换, 红外光谱
27,电子显微镜原位, 监测, 木材
28,电子显微镜, 分析, 聚硅酸金属盐复合絮凝剂形貌 
29,电子显微镜, 鉴别, 山羊绒纤维
30,光学显微镜, 鉴别, 山羊绒纤维
31,电子显微镜图像法, 测定, 岩石
32,电子显微镜, 分析, 北京雨雪中不可溶成分
33,电子显微镜能谱仪, 测量, 镀金层厚度
34,电子显微镜联机, 进行, 材料科学研究新进展
35,电子显微镜, 诊断, 性病
36,电子显微镜, 观察, 损伤区心肌细胞超微结构实验研究
37,应用电子显微镜负染色技术, 检测, 樱桃树叶病毒
38,电子显微镜, 分离, 小鼠染色体
39,CuMgO界面结构, 分辨, 电子显微镜研究
40,电子显微镜, 分离, 小鼠染色体
41,电子显微镜样品室低温区, 扩展, 变温装置
42,电子显微镜, 透视, 半导体
43,环境扫描电子显微镜, 检验, 水中尸体
44,电子显微镜, 研究, CO
45,电子显微镜, 观察, CuZnAlMnNi记忆合金
46,电子显微镜, 鉴定, 山羊绒织物
47,电子显微镜技术, 检测, 患者粪便中病毒
48,电子显微镜, 观察, DNA杂交证据
49,电子显微镜, 诊断, 骨小圆细胞肉瘤
50,扫描电子显微镜, 研究, 砂岩储层
51,电子显微镜, 研究, 非晶态催化剂晶化过程
52,电子显微镜, 测量, 靶丸表面形貌
53,电子显微镜, 研究, 花岗石
54,扫描电子显微镜, 测定, 中药制剂中含砷成分
55,电子显微镜, 观察, 稀土镁球墨铸铁组织
56,电子显微镜, 观察, 肺原性心脏病急性期血小板形态改变
57,电子显微镜, 诊断, 肿瘤
58,分散X射线显微分析法, 研究, 新耐热细菌对黄铜矿生物浸出过程
59,电子显微镜, 检测, 阴道乳头瘤病毒
60,电子显微镜, 研究, 乳胶系统特性
61,电子显微镜, 测量, 薄膜厚度
62,电子显微镜, 研究, 碳纤维微细结构
63,电子显微镜, 测量, 微小雾径中应用
64,电子显微镜, 观测, 聚丙烯酰胺结合表面结构
65,电子显微镜法, 研究, 人造奶油
66,免疫细胞化学, 结合, 电子显微镜
67,电子显微镜, 检测, 断裂面
68,电子显微镜图谱, 研究, 淀粉—丙烯酰胺接枝聚物
69,电子显微镜, 研究, 聚丙烯
70,电子显微镜, 观察, YBaCuO超导薄膜
71,电子显微镜, 研究, 铅矿族矿物
72,全息电子显微镜, 观测, 磁通量
73,电子显微镜, 研究, A18Fe4Ce3Ti合金
74,电子显微镜, 研究, 棉纤维
75,电子显微镜技术, 检测, 云南省烟草病毒
76,通道电子显微镜, 测定, 空间位置
77,电子显微镜, 观察, 铜双晶断口反射电子显微方法
78,电子显微镜, 测定, 40Cr钢断裂韧性
79,电子显微镜, 检测, 马立克氏病病毒
80,光学显微镜, 进行, 免疫检测
81,电子显微镜, 研究, 60膜
82,电子显微镜, 分析, 混合纤维含量
83,电子显微镜, 研究, α
84,电子显微镜, 观察, 纤维蛋白
85,电子显微镜, 研究, 超微结构
86,电子显微镜, 分析, 彩色显象管内薄膜污染
87,电子显微镜, 研究, 2O3催化剂
88,应用电子显微镜X射线显微分析法, 研究, 缺血骨骼肌细胞内钙
89,电子显微镜, 观察, 遗传基因
90,电子显微镜, 研究, 汉口路山羊皮组织结构
91,电子显微镜, 研究, 恒河猴SV隐性感染
92,电子显微镜, 研究, 集成电路
93,电子显微镜, 检查, 溃疡性结肠炎和克隆氏病
94,电子显微镜, 分析, 光栅沟漕形状方法
95,电子显微镜, 检验, 焚烧牙齿
96,电子显微镜, 观察, 细针吸肺标本
97,电子显微镜, 研究, 棱子蟹壳中组份形态及存在关系
98,电子显微镜, 观察, 植物亚显微结构方法
99,电子显微镜, 分析, 膨润土微观形貌及结构模式
100,电子显微镜, 研究, 露斯塔野鲮
101,电子显微镜, 观察, 病毒感染细胞包埋技术改进
102,电子显微镜, 研究, 类B型病毒颗粒
103,电子显微镜, 检测, 含病毒粪便
104,电子显微镜, 观察, 新型无机材料
105,电子显微镜, 分散, X射线
106,电子显微镜, 观察, 纤维蛋白
107,电子显微镜, 加速, 高压稳定度测量
108,电子显微镜, 观察, 组特异抗原
109,电子显微镜, 研究, 粘胶中颗粒
110,电子显微镜, 证实, 麻风杆菌存在于神经轴突
111,光栅电子显微镜, 研究, 刀片
112,电子显微镜, 测定, 晶体结构
113,电子显微镜术, 研究, 修复体
114,电子显微镜, 观察, 毛纤维表面结构情况
115,电子显微镜, 观察, 阴极荧光
116,电子显微镜, 研究, 发光晶体
117,电子显微镜, 观察, 红细胞
118,电子显微镜, 观察, 微生物简易标本
119,电子显微镜细胞化学, 证明, 银屑病表皮中腺环化酶活性
120,电子显微镜, 研究, 铸铁中石墨形态
121,电子显微镜, 研究, 聚丙烯腈纤维
122,电子显微镜, 研究, 半导体p-n结结区光电特性
123,电子显微镜, 观察, 制作技术生物材料包埋方法
124,电子显微镜, 观察, 制作技术生物材料颗粒样品制作方法
125,电子显微镜, 研究, 结晶形态
126,电子显微镜, 观察, 锡类散改进方对治疗作用
127,电子显微镜, 测定, 牛肝过氧化氢酶结晶
128,电子显微镜, 研究, 非晶态合金
129,电子显微镜, 研究, 混凝机理
130,电子显微镜, 观测, 颗粒谱
131,电子显微镜, 研究, 半导体激光器中的缺陷
132,电子显微镜, 研究, 健康人薄白苔
133,电子显微镜, 研究, 各类病理舌象研究
134,电子显微镜, 研究, 激光法制备非晶态金属
135,电子显微镜, 研究, 三种碳碳复合材料微观结构
136,电子显微镜, 检测, 急性胃肠炎
137,电子显微镜, 观察, 孢子丝
138,电子显微镜, 观察, 病毒
139,电子显微镜, 观察, 昆虫
140,电子显微镜, 观察, 果树样品
141,电子显微镜, 观察, 烧伤皮肤微血管
142,电子显微镜, 观察, 歼击机飞行员飞行前后血小板形态
143,电子显微镜, 观察, 接枝侧链聚合物长度
144,电子显微镜, 收集, 晶体三维衍射信息
145,电子显微镜, 研究, 水稻土特性
146,电子显微镜, 检查, 粪便标本
147,电子显微镜, 观察, 中毒症胎盘绒毛变化
148,电子显微镜, 研究, 土传小麦花叶病毒
149,电子显微镜, 记录, 研制中应用
150,电子显微镜, 研究, 有机硅氧烷乳液粒子
151,电子显微镜, 观察, 红松花粉发芽
152,电子显微镜技术, 研究, 鸡
153,电子显微镜, 观察, 热塑性聚氨酯橡胶破裂
154,彩色荧光电子显微镜, 鉴别, 钻石瑕疵
