光学投影显微镜, 检测, 山羊绒
光学显微镜, 鉴别, 山羊绒纤维
光栅电子显微镜, 研究, 刀片
全息电子显微镜, 观测, 磁通量
冷冻电镜, 观察, 大鼠胰岛素瘤细胞
冷冻电镜, 重构, 埃瓦尔德球效应
冷冻电镜, 重构, 生物大分子
冷冻电镜成像技术, 运用于, 解析30nm染色质纤维高分辨率结构
分散X射线显微分析法, 研究, 新耐热细菌对黄铜矿生物浸出过程
台式扫描电子显微镜, 测定, 卷烟纸中特殊纤维
应用扫描电镜, 检测, 血栓
应用扫描电镜技术, 预测, 良性与侵蚀性葡萄胎
应用环境扫描电镜, 研究, 储集层砂岩样品润湿性变化特征
应用电子显微镜X射线显微分析法, 研究, 缺血骨骼肌细胞内钙
应用电子显微镜负染色技术, 检测, 樱桃树叶病毒
彩色荧光电子显微镜, 鉴别, 钻石瑕疵
扫描电子显微镜, 检测, 动物毛
扫描电子显微镜, 检验, 水中尸体
扫描电子显微镜, 测定, 中药制剂中含砷成分
扫描电子显微镜, 测定, 单微粒中铀同位素比值
扫描电子显微镜, 研究, 中国黄土微结构 
扫描电子显微镜, 研究, 砂岩储层
扫描电子显微镜, 研究, 高Tc超导薄膜
扫描电子显微镜, 观察, 不同含氟浓度酸蚀液
扫描电子显微镜, 观察, 叶尖生态形态变化
扫描电子显微镜, 观察, 安徽霍山产三种石斛花粉粒
扫描电子显微镜, 观察, 小鼠类巨噬细胞
扫描电子显微镜, 观察, 蕨类植物孢子
扫描电子显微镜-能谱仪, 分析, 胶料喷霜
扫描电子显微镜-能谱仪, 分析, 钢帘线与橡胶之间黏合机理
扫描电子显微镜-能谱仪, 检验, 微量附着物
扫描电镜, 分析, 各类微体化石样品最佳镀膜
扫描电镜, 分析, 大鼠股骨头
扫描电镜, 分析, 新疆部分野生哺乳动物
扫描电镜, 实现, STEM模式
扫描电镜, 应用, 植物类中药鉴定研究
扫描电镜, 应用于, 植物类中药鉴定研究
扫描电镜, 揭示, 果蔬保鲜机理
扫描电镜, 检测, 硅化镀膜
扫描电镜, 研究, 四川九老洞组页岩微观孔隙特征
扫描电镜, 研究, 大气环境下LY12铝表面上液膜
扫描电镜, 研究, 有机孔三维结构
扫描电镜, 研究, 稻谷霉变
扫描电镜, 研究, 膝骨关节炎
扫描电镜, 研究, 花粉
扫描电镜, 观察, 不同紫花苜蓿品种花粉形态
扫描电镜, 观察, 地方性砷中毒人群头发砷值
扫描电镜, 观察, 天然药物五倍子化学成分
扫描电镜, 观察, 富血小板血浆处理降解膜
扫描电镜, 观察, 成年斑马鱼牙齿
扫描电镜, 观察, 月胎儿胆囊微血管
扫描电镜, 观察, 果皮微形态特征
扫描电镜, 观察, 灰鼠内毛细胞
扫描电镜, 观察, 烟粉虱形态学
扫描电镜, 观察, 猪蛔虫感觉器官
扫描电镜, 观察, 白僵菌
扫描电镜, 观察, 碱蒿营养器官
扫描电镜, 观察, 磨损表面形貌演变方法
扫描电镜, 观察, 红细胞
扫描电镜, 观察, 美洲大蠊触角
扫描电镜, 观察, 足跟部皮肤
扫描电镜, 观察, 金边土鳖消化道
扫描电镜, 观察, 陶瓷材料显微结构
扫描电镜, 观察, 食管癌
扫描电镜, 观察, 麦麸水溶性膳食纤维
扫描电镜, 观测, 聚乙烯基纳米电介质微结构
扫描电镜, 观测, 陶瓷坯体连接环境
扫描电镜, 鉴别, 植物花粉形态
扫描电镜,观察, 家兔晶状体纤维超微结构
扫描电镜能谱, 研究, 破壁松花粉
扫描透射电子显微镜, 探测, 单原子催化中的活性中心
数码电子显微镜, 鉴别, 手印
电子显微镜, 分散, X射线
电子显微镜, 分析, H-800
电子显微镜, 分析, LaNbO_4-NiO-Y_2O_3稳定的ZrO_2复合材料中的相界
电子显微镜, 分析, 不良导体
电子显微镜, 分析, 人工冰核粒子
电子显微镜, 分析, 光栅沟漕形状方法
电子显微镜, 分析, 北京雨雪中不可溶成分
电子显微镜, 分析, 含焰剂人工冰核粒子
电子显微镜, 分析, 回火态物组成关系
