id,result,,医学名词,物理名词,地质名词,生物名词（其他）,化学名词,其他,医学名词（病菌类）,生物名词（动物类）,生物名词（植物类）,医学名词（细胞类）,医学名词（疾病类）,医学名词（炎症类）,医学名词（药物类）
0,,, 富血小板血浆, 磁流体, 粘土矿物, 体腔液, 碲镉汞晶体, 刀片, 新耐热细菌, 大鼠股骨头, 叶尖, 大鼠胰岛素瘤细胞, 血栓, 溃疡性结肠炎, 超微粉通心络
1,,, 月胎儿胆囊微血管, 磁通量, 储集层砂岩, 小鼠染色体, 多晶铜, 卷烟纸, 樱桃树叶病毒, 豚鼠前庭器, 石斛花粉粒, 缺血骨骼肌细胞, 白血病, 膝骨关节炎, 米非司酮
2,,, 降脂红曲, 埃瓦尔德球效应, 黄土 , 中毒症胎盘绒毛, 高Tc超导薄膜, 钻石, 白僵菌, 成年斑马鱼牙齿, 蕨类植物孢子, 小鼠类巨噬细胞, 肺原性心脏病, 萎缩性胃炎, 锡类散
3,,, 短期糖皮质激素, 单微粒, 砂岩储层, 酵母细胞, 含氟浓度酸蚀液, 水中尸体, 鼠疫菌, 金边土鳖, 稻谷, 绒山蝠肝细胞, 小儿肾小球疾病, 慢性乙型肝炎, 五倍子
4,,, 马氏体, 微量附着物, 脱水叶腊石, 乳胶, 胶料喷霜, 地方性砷中毒人群头发, 狂犬病毒, 家兔, 花粉, 视网膜色素上皮细胞, 性病, 单纯疱疹病毒脑炎, 舒尼替尼
5,,,  抗菌肽, 陶瓷材料, 钒钛磁铁矿, 羊毛织物, 硅化镀膜, 足跟部皮肤, 樱桃树叶病毒, 大鼠视网膜, 紫花苜蓿, 灰鼠内毛细胞, 早期Wilson病, 急性胃肠炎, 龟鹿二仙胶
6,,, 进行性神经损害, 陶瓷坯体, 组页岩, 微生物简易标本, 聚乙烯基纳米, 手印, 婴儿巨细胞病毒, 恒河猴, 果皮, 牙周膜细胞, 肌肉疾病, 马脑炎病原体, 北豆根
7,,, B超, 单原子, 页岩有机孔, 精子, 人工冰核粒子, 粪便标本, 类B型病毒颗粒, 棱子蟹壳, 碱蒿, 软骨细胞,系统性硬皮病, 包涵体肌炎,
8,,, 无细胞提取液, X射线, 膨润土, 遗传基因, 固体催化剂, 雨雪, 猪传染性胃肠炎病毒, 山羊皮组织, 麦麸, 胃癌细胞, 克山病,,
9,,, 特异抗原, 光栅沟漕, 花岗石, 重症肌无力大鼠肌肉线粒体, 彩色显象管内薄膜, 细胞彩照, 云南省烟草病毒, 露斯塔野鲮, 植物花粉, 损伤区心肌细胞, 出血病,,
10,,,, 回火态物, 水稻土, 突触, 聚硅酸金属盐, 含病毒粪便, 动物病毒疫苗, 鸡, 破壁松花粉, 人肝双核细胞, 男性冠心病,医学名词（癌症类）,
11,,,, 水泥砂浆, 辉钼矿, 鱼卵带超微结, 低氟溶胶, 焚烧牙齿, 患者粪便中病毒,大鼠大脑, 孢子丝, 恶性黑色素瘤细胞, 骨小圆细胞肉瘤, 膀胱癌,
12,,,, 液压系统, 铅矿族矿物, 弓状核, 聚芳醚酮 , 人造奶油, 阴道乳头瘤病毒, 绵羊精子, 谷核, 红细胞, 蕈样肉芽肿, 肺鳞癌,
13,,,, 精细陶瓷粉体, CuZnAlMnNi记忆合金, 家鼠雄性生殖细胞, 瓦斯, 木材, 阴道宫颈乳头瘤病毒, 节肢动物, 红松花粉, 免疫细胞, 骨巨细胞瘤, 口腔鳞癌,
14,,,, 高压稳定度, 辉石, 山羊绒织物, 晶体三维衍射信息, 舌苔, 马立克氏病病毒,,梨属植物花粉, 淋巴细胞, 老年性紫斑, 甲状腺髓样癌,
15,,,, 红外光谱, 羟氯镁铝石,, 聚苯乙烯, 病理舌象, 大蒜病毒,,, 兔关节软骨细胞, 矽肺结石, 食管癌,
16,,,, 电子象,,, 纳米级颗粒群, 机械, 蓝舌病病毒,,, 鼻咽癌细胞,, 大肠癌,
17,,,, 阴极电子束流,,, A18Fe4Ce3Ti合金, 婴幼儿腹泻粪便, 小麦花叶病毒,生物名词（昆虫类）,生物名词（纤维类）, 鼠伤寒沙门氏菌株细胞,,,
18,,,, 电路采集电路,,, 一氧化碳, 颗粒谱, 许兰氏毛癣菌, 利什曼属虫种 , 混合纤维,,,,
19,,,, 数控车床导轨精度,,, CuMgO, 燕窝, 土传小麦花叶病毒, 烟粉虱," 山羊绒纤维
 ",,,,
20,,,, 40Cr钢断裂韧性,,, SnO2气敏薄膜, 人造奶油, 苏芸金杆菌, 猪蛔虫, 碳纤维,,,,
21,,,, 修复体,,, 碳/碳复合材料,, 类B型病毒, 美洲大蠊, 粘胶纤维,,,,
22,,,, 钒原子,,, 石墨烯薄膜,, 幽门弯曲菌, 东方次睾吸虫, 棉纤维,,,,
23,,,, 微小雾径,,, 发光晶体,, 柑桔黄龙病菌, 牦牛皮蝇, 毛纤维,,,,
24,,,, 靶丸表面形貌,,, 聚丙烯,, 他啶抗绿脓杆菌,, 纤维蛋白,,,,
25,,,, 免疫胶体金技术,,, 聚丙烯腈基碳纤维,, 带状疱疹病毒,,,,,,
26,,,, 半导体激光器,,, 聚丙烯腈纤维,, 甘蔗白叶病,,,,,,
27,,,, 固体推进剂,,, 钙离子,, 扩展青霉,,,,,,
28,,,, 超微结构,,, 有机硅氧烷,, 麻风杆菌,,,,,,
29,,,, 铸铁中石墨形态,,, 非晶态催化剂,,,,,,,,
30,,,, 集成电路,,, 非晶态合金,,,,,,,,
31,,,, 脱水叶腊石,,, 高温超导体结构,,,,,,,,
32,,,, 高聚物断面样品,,, 顺丁烯二酸,,,,,,,,
33,,,, 稀土镁球墨铸铁组织,,, 矿族矿物,,,,,,,,
34,,,, 显微结构,,, 氧化膜,,,,,,,,
35,,,, 核心复合体,,, 纽蛋白,,,,,,,,
36,,,, 阴极荧光,,, 直拉硅单晶,,,,,,,,
37,,,, 变温装置,,, 外延生长纳米线,,,,,,,,
38,,,, 焊接烟尘,,, YBaCuO超导薄膜,,,,,,,,
39,,,,冷硬树脂砂,,, 抗凝剂,,,,,,,,
40,,,,,,, 苯乙烯,,,,,,,,
41,,,,,,, 合胞体,,,,,,,,
42,,,,,,, 人造金刚石,,,,,,,,
43,,,,,,, 接枝侧链聚合物,,,,,,,,
44,,,,,,, 铁碳钼合金,,,,,,,,
45,,,,,,, 核壳胶乳粒,,,,,,,,
46,,,,,,, 硅丙乳液,,,,,,,,
47,,,,,,, 3C-SiC中的硅,,,,,,,,
48,,,,,,, 半导体,,,,,,,,
49,,,,,,, 铂,,,,,,,,
50,,,,,,, 纯钛种植体,,,,,,,,
51,,,,,,, 石墨烯液体,,,,,,,,
52,,,,,,, 福尔马林固定组织,,,,,,,,
53,,,,,,, 棉酚,,,,,,,,
54,,,,,,, 聚丙烯酰胺,,,,,,,,
55,,,,,,, 氧氯化催化剂,,,,,,,,
56,,,,,,, 石墨烯基,,,,,,,,
57,,,,,,, Te-GaAs单晶,,,,,,,,
58,,,,,,, 单体纳米材料,,,,,,,,
59,,,,,,, 铝合金中单层Mg-GP,,,,,,,,
60,,,,,,, 粉煤灰珠状颗粒,,,,,,,,
61,,,,,,, 镀膜技术,,,,,,,,
62,,,,,,, 淀粉—丙烯酰胺接枝聚物,,,,,,,,
63,,,,,,, 热塑性聚氨酯橡胶,,,,,,,,
64,,,,,,,,,,,,,,,
65,,,,,,,化学名词（酶类）,,,,,,,,
66,,,,,,, 解旋酶,,,,,,,,
67,,,,,,, 氮合酶,,,,,,,,
68,,,,,,, 脱氢酶,,,,,,,,
69,,,,,,, 酸性磷酸酶,,,,,,,,
70,,,,,,, 腺环化酶,,,,,,,,
71,,,,,,, 牛肝过氧化氢酶,,,,,,,,
72,,,,,,, 转谷氨酰胺酶,,,,,,,,
73,,,,,,, 基质金属蛋白酶,,,,,,,,
74,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,
77,,,,,,,,,,,,,,,
78,,,,,,,,,,,,,,,
79,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,
81,,,,,,,,,,,,,,,
82,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,
198,,,,,,,,,,,,,,,
199,,,,,,,,,,,,,,,
200,,,,,,,,,,,,,,,
201,,,,,,,,,,,,,,,
202,,,,,,,,,,,,,,,
203,,,,,,,,,,,,,,,
204,,,,,,,,,,,,,,,
205,,,,,,,,,,,,,,,
206,,,,,,,,,,,,,,,
207,,,,,,,,,,,,,,,
208,,,,,,,,,,,,,,,
209,,,,,,,,,,,,,,,
210,,,,,,,,,,,,,,,
211,,,,,,,,,,,,,,,
212,,,,,,,,,,,,,,,
213,,,,,,,,,,,,,,,
214,,,,,,,,,,,,,,,
215,,,,,,,,,,,,,,,
216,,,,,,,,,,,,,,,
217,,,,,,,,,,,,,,,
218,,,,,,,,,,,,,,,
219,,,,,,,,,,,,,,,
220,,,,,,,,,,,,,,,
221,,,,,,,,,,,,,,,
222,,,,,,,,,,,,,,,
223,,,,,,,,,,,,,,,
224,,,,,,,,,,,,,,,
225,,,,,,,,,,,,,,,
226,,,,,,,,,,,,,,,
227,,,,,,,,,,,,,,,
228,,,,,,,,,,,,,,,
229,,,,,,,,,,,,,,,
230,,,,,,,,,,,,,,,
231,,,,,,,,,,,,,,,
232,,,,,,,,,,,,,,,
233,,,,,,,,,,,,,,,
234,,,,,,,,,,,,,,,
235,,,,,,,,,,,,,,,
236,,,,,,,,,,,,,,,
237,,,,,,,,,,,,,,,
238,,,,,,,,,,,,,,,
239,,,,,,,,,,,,,,,
240,,,,,,,,,,,,,,,
241,,,,,,,,,,,,,,,
242,,,,,,,,,,,,,,,
243,,,,,,,,,,,,,,,
244,,,,,,,,,,,,,,,
245,,,,,,,,,,,,,,,
246,,,,,,,,,,,,,,,
247,,,,,,,,,,,,,,,
248,,,,,,,,,,,,,,,
249,,,,,,,,,,,,,,,
250,,,,,,,,,,,,,,,
251,,,,,,,,,,,,,,,
252,,,,,,,,,,,,,,,
253,,,,,,,,,,,,,,,
254,,,,,,,,,,,,,,,
255,,,,,,,,,,,,,,,
256,,,,,,,,,,,,,,,
257,,,,,,,,,,,,,,,
258,,,,,,,,,,,,,,,
259,,,,,,,,,,,,,,,
260,,,,,,,,,,,,,,,
261,,,,,,,,,,,,,,,
262,,,,,,,,,,,,,,,
263,,,,,,,,,,,,,,,
264,,,,,,,,,,,,,,,
265,,,,,,,,,,,,,,,
266,,,,,,,,,,,,,,,
267,,,,,,,,,,,,,,,
268,,,,,,,,,,,,,,,
269,,,,,,,,,,,,,,,
270,,,,,,,,,,,,,,,
271,,,,,,,,,,,,,,,
272,,,,,,,,,,,,,,,
273,,,,,,,,,,,,,,,
274,,,,,,,,,,,,,,,
275,,,,,,,,,,,,,,,
276,,,,,,,,,,,,,,,
277,,,,,,,,,,,,,,,
278,,,,,,,,,,,,,,,
279,,,,,,,,,,,,,,,
280,,,,,,,,,,,,,,,
281,,,,,,,,,,,,,,,
282,,,,,,,,,,,,,,,
283,,,,,,,,,,,,,,,
284,,,,,,,,,,,,,,,
285,,,,,,,,,,,,,,,
286,,,,,,,,,,,,,,,
287,,,,,,,,,,,,,,,
288,,,,,,,,,,,,,,,
289,,,,,,,,,,,,,,,
290,,,,,,,,,,,,,,,
291,,,,,,,,,,,,,,,
292,,,,,,,,,,,,,,,
293,,,,,,,,,,,,,,,
294,,,,,,,,,,,,,,,
295,,,,,,,,,,,,,,,
296,,,,,,,,,,,,,,,
297,,,,,,,,,,,,,,,
298,,,,,,,,,,,,,,,
299,,,,,,,,,,,,,,,
