id,result,,医学名词,物理名词,地质名词,生物名词,化学名词,其他
0, 磁流体,,,,,（动物）,,
1, 山羊绒纤维,,,,,（植物）,,
2, 刀片,,,,,,,
3, 磁通量,,,,,,,
4, 大鼠胰岛素瘤细胞,,,,,,,
5, 埃瓦尔德球效应,,,,,,,
6, 生物大分子,,,,,,,
7, 粘土矿物,,,,,,,
8, 新耐热细菌,,,,,,,
9, 卷烟纸,,,,,,,
10, 血栓,,,,,,,
11, 碲镉汞晶体,,,,,,,
12, 储集层砂岩,,,,,,,
13, 缺血骨骼肌细胞,,,,,,,
14, 樱桃树叶病毒,,,,,,,
15, 钻石,,,,,,,
16, 多晶铜,,,,,,,
17, 水中尸体,,,,,,,
18, 中药制剂,,,,,,,
19, 单微粒,,,,,,,
20, 黄土 ,,,,,,,
21, 砂岩储层,,,,,,,
22, 高Tc超导薄膜,,,,,,,
23, 含氟浓度酸蚀液,,,,,,,
24, 叶尖,,,,,,,
25, 石斛花粉粒,,,,,,,
26, 小鼠类巨噬细胞,,,,,,,
27, 蕨类植物孢子,,,,,,,
28, 胶料喷霜,,,,,,,
29, 食管癌,,,,,,,
30, 微量附着物,,,,,,,
31, 绒山蝠肝细胞,,,,,,,
32, 大鼠股骨头,,,,,,,
33, 酸性磷酸酶,,,,,,,
34, 脱水叶腊石,,,,,,,
35, 钒钛磁铁矿,,,,,,,
36, 涎腺肌上皮瘤,,,,,,,
37, 视网膜色素上皮细胞,,,,,,,
38, 硅化镀膜,,,,,,,
39, 组页岩,,,,,,,
40, 豚鼠前庭器,,,,,,,
41, 有机孔,,,,,,,
42, 稻谷,,,,,,,
43, 膝骨关节炎,,,,,,,
44, 花粉,,,,,,,
45, 紫花苜蓿,,,,,,,
46, 地方性砷中毒人群头发,,,,,,,
47, 五倍子,,,,,,,
48, 富血小板血浆,,,,,,,
49, 成年斑马鱼牙齿,,,,,,,
50, 月胎儿胆囊微血管,,,,,,,
51, 果皮,,,,,,,
52, 灰鼠内毛细胞,,,,,,,
53, 烟粉虱,,,,,,,
54, 猪蛔虫,,,,,,,
55, 白僵菌,,,,,,,
56, 碱蒿,,,,,,,
57, 鼠疫菌,,,,,,,
58, 红细胞,,,,,,,
59, 美洲大蠊,,,,,,,
60, 足跟部皮肤,,,,,,,
